Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
petrobras eyes opening mideast unit strengthen opec ties,brazils statecontrolled oil explorer considering opening middle east unit latin americas biggest crude producer prepares join opecs cooperation charter,https://www.bloomberg.com/news/articles/2023-12-01/petrobras-eyes-opening-mideast-unit-to-strengthen-opec-ties,"Fri, 01 Dec 2023 15:59:46 GMT",finance,petrobras eyes opening mideast unit strengthen opec ties brazils statecontrolled oil explorer considering opening middle east unit latin americas biggest crude producer prepares join opecs cooperation charter,"['petrobras', 'eyes', 'opening', 'mideast', 'unit', 'strengthen', 'opec', 'ties', 'brazils', 'statecontrolled', 'oil', 'explorer', 'considering', 'opening', 'middle', 'east', 'unit', 'latin', 'americas', 'biggest', 'crude', 'producer', 'prepares', 'join', 'opecs', 'cooperation', 'charter']","['petrobras', 'eyes', 'opening', 'mideast', 'unit', 'strengthen', 'opec', 'ties']"
commerzbank seeks wealth fund investor asia mideast,commerzbank ag talking sovereign wealth funds becoming anchor investor shore defenses opportunistic takeover bid preserve independence people familiar matter said,https://www.bloomberg.com/news/articles/2023-12-01/commerzbank-said-to-seek-wealth-fund-investor-in-asia-mideast,"Fri, 01 Dec 2023 15:09:51 GMT",finance,commerzbank seeks wealth fund investor asia mideast commerzbank ag talking sovereign wealth funds becoming anchor investor shore defenses opportunistic takeover bid preserve independence people familiar matter said,"['commerzbank', 'seeks', 'wealth', 'fund', 'investor', 'asia', 'mideast', 'commerzbank', 'ag', 'talking', 'sovereign', 'wealth', 'funds', 'becoming', 'anchor', 'investor', 'shore', 'defenses', 'opportunistic', 'takeover', 'bid', 'preserve', 'independence', 'people', 'familiar', 'matter', 'said']","['commerzbank', 'seeks', 'wealth', 'fund', 'investor', 'asia', 'mideast']"
corporate cash friday chartfest,,https://www.ft.com/content/6667164e-546e-49b2-9ef4-651cf778825c,"Fri, 01 Dec 2023 19:16:50 GMT",finance,corporate cash friday chartfest ,"['corporate', 'cash', 'friday', 'chartfest']","['corporate', 'cash', 'friday', 'chartfest']"
charlie munger magnificent seven,,https://www.ft.com/content/89af115c-d9d6-4814-99e5-267f269f7481,"Fri, 01 Dec 2023 17:37:43 GMT",finance,charlie munger magnificent seven ,"['charlie', 'munger', 'magnificent', 'seven']","['charlie', 'munger', 'magnificent', 'seven']"
venezuela hold referendum seizing part guyana oil,,https://www.ft.com/content/a0ec9710-aa52-416b-ac79-8ada5cdab229,"Fri, 01 Dec 2023 15:58:26 GMT",finance,venezuela hold referendum seizing part guyana oil ,"['venezuela', 'hold', 'referendum', 'seizing', 'part', 'guyana', 'oil']","['venezuela', 'hold', 'referendum', 'seizing', 'part', 'guyana', 'oil']"
tokenised securities blockchain offers lower cost faster speed,,https://www.ft.com/content/c3a40719-b096-4767-8bd8-2a7da27c3a94,"Fri, 01 Dec 2023 15:10:20 GMT",finance,tokenised securities blockchain offers lower cost faster speed ,"['tokenised', 'securities', 'blockchain', 'offers', 'lower', 'cost', 'faster', 'speed']","['tokenised', 'securities', 'blockchain', 'offers', 'lower', 'cost', 'faster', 'speed']"
hmrc urges crypto holders disclose gains,,https://www.ft.com/content/25de9ccb-825c-4aa0-9d0e-0d0bcb34630c,"Fri, 01 Dec 2023 14:51:44 GMT",finance,hmrc urges crypto holders disclose gains ,"['hmrc', 'urges', 'crypto', 'holders', 'disclose', 'gains']","['hmrc', 'urges', 'crypto', 'holders', 'disclose', 'gains']"
cop28 help readers,,https://www.ft.com/content/bfbe6f9e-89d7-4027-ade1-687b9e8a5331,"Fri, 01 Dec 2023 13:03:23 GMT",finance,cop28 help readers ,"['cop28', 'help', 'readers']","['cop28', 'help', 'readers']"
us puts stablecoin market notice,,https://www.ft.com/content/7e0204e9-4bfb-4090-b5c8-8c97baa5a3ff,"Fri, 01 Dec 2023 13:00:12 GMT",finance,us puts stablecoin market notice ,"['us', 'puts', 'stablecoin', 'market', 'notice']","['us', 'puts', 'stablecoin', 'market', 'notice']"
good time rick rieder,,https://www.ft.com/content/6a3bc28f-f612-4d31-87f6-f1bb39764778,"Fri, 01 Dec 2023 06:30:16 GMT",finance,good time rick rieder ,"['good', 'time', 'rick', 'rieder']","['good', 'time', 'rick', 'rieder']"
